id,record_type,occurrence_type,esotic,accuracy,occurrence_year,lat_wgs84,lon_wgs84,taxon_name,geometry
94056,B,presenza,nativa,4,NA,44.114491,10.593282,Aquilegia lucensis E.Nardi,"c(627494.605258728, 4885823.35120505)"
94057,B,presenza,nativa,4,NA,44.403495,9.988773,Aquilegia lucensis E.Nardi,"c(578734.866336587, 4917165.11964348)"
94058,B,presenza,nativa,4,NA,44.267754,10.296538,Aquilegia lucensis E.Nardi,"c(603480.406690158, 4902429.70651208)"
94059,B,presenza,nativa,4,NA,44.095995,10.824208,Aquilegia lucensis E.Nardi,"c(646019.057736251, 4884152.70225046)"
94060,B,presenza,nativa,4,NA,44.246601,10.404988,Aquilegia lucensis E.Nardi,"c(612176.372997167, 4900222.62782952)"
94061,B,presenza,nativa,4,NA,44.14415,10.50793,Aquilegia lucensis E.Nardi,"c(620604.294589952, 4888988.92494782)"
94062,B,presenza,nativa,4,NA,44.114903,10.592907,Aquilegia lucensis E.Nardi,"c(627463.71163695, 4885868.53169137)"
94063,B,presenza,nativa,4,NA,44.140557,10.673868,Aquilegia lucensis E.Nardi,"c(633884.256608847, 4888846.56527311)"
94064,B,presenza,nativa,4,2002,44.120646,10.636886,Aquilegia lucensis E.Nardi,"c(630970.232693846, 4886575.4800993)"
94065,B,presenza,nativa,4,NA,44.15369,10.714846,Aquilegia lucensis E.Nardi,"c(637131.492942124, 4890372.79871934)"
94066,B,presenza,nativa,4,2005,44.12657,10.64213,Aquilegia lucensis E.Nardi,"c(631376.685441433, 4887241.82950123)"
94067,B,presenza,nativa,4,NA,44.156932,10.712228,Aquilegia lucensis E.Nardi,"c(636914.638272837, 4890728.53257908)"
94068,B,presenza,nativa,4,NA,44.115615,10.63155,Aquilegia lucensis E.Nardi,"c(630554.366131081, 4886008.19907937)"
94069,O,presenza,nativa,4,2014,44.10392,10.84552,Aquilegia lucensis E.Nardi,"c(647705.261946878, 4885070.97435302)"
94070,O,presenza,nativa,4,2014,44.11605,10.63167,Aquilegia lucensis E.Nardi,"c(630563.010376192, 4886056.70558937)"
94071,P,presenza,nativa,4,1974,44.12136,10.63656,Aquilegia lucensis E.Nardi,"c(630942.571186929, 4886654.26636111)"
130619,B,presenza,nativa,3,1891,44.154158,10.71211,Aquilegia lucensis E.Nardi,"c(636911.618215018, 4890420.22133387)"
130620,B,presenza,nativa,3,1891,44.12136,10.63656,Aquilegia lucensis E.Nardi,"c(630942.571186929, 4886654.26636111)"
130621,B,presenza,nativa,3,1891,44.138004,10.545217,Aquilegia lucensis E.Nardi,"c(623599.357264107, 4888361.63043402)"
146611,B,presenza,nativa,4,2005,44.121343,10.650018,Aquilegia lucensis E.Nardi,"c(632019.40474172, 4886673.88446808)"
214463,P,presenza,nativa,4,0,44.410382,9.991193,Aquilegia lucensis E.Nardi,"c(578918.307291911, 4917932.43081338)"
214464,P,presenza,nativa,4,1858,44.410382,9.991193,Aquilegia lucensis E.Nardi,"c(578918.307291911, 4917932.43081338)"
214465,P,presenza,nativa,4,1964,44.410382,9.991193,Aquilegia lucensis E.Nardi,"c(578918.307291911, 4917932.43081338)"
214466,P,presenza,nativa,5,1858,44.410382,9.991193,Aquilegia lucensis E.Nardi,"c(578918.307291911, 4917932.43081338)"
214467,P,presenza,nativa,5,1858,44.410382,9.991193,Aquilegia lucensis E.Nardi,"c(578918.307291911, 4917932.43081338)"
214468,P,presenza,nativa,5,1951,44.410382,9.991193,Aquilegia lucensis E.Nardi,"c(578918.307291911, 4917932.43081338)"
214469,P,presenza,nativa,5,1984,44.279642,10.224721,Aquilegia lucensis E.Nardi,"c(597728.755486839, 4903662.10800351)"
214470,P,presenza,nativa,5,1987,44.279642,10.224721,Aquilegia lucensis E.Nardi,"c(597728.755486839, 4903662.10800351)"
214471,P,presenza,nativa,5,1987,44.28066557017542,10.2292799949646,Aquilegia lucensis E.Nardi,"c(598090.846686138, 4903781.24000669)"
214472,P,presenza,nativa,5,1851,44.249258,10.407126,Aquilegia lucensis E.Nardi,"c(612342.016760994, 4900520.67382201)"
214473,P,presenza,nativa,5,1851,44.249258,10.407126,Aquilegia lucensis E.Nardi,"c(612342.016760994, 4900520.67382201)"
214474,P,presenza,nativa,5,1851,44.249258,10.407126,Aquilegia lucensis E.Nardi,"c(612342.016760994, 4900520.67382201)"
214475,P,presenza,nativa,4,1863,44.12542614841261,10.579919815063477,Aquilegia lucensis E.Nardi,"c(626402.031118069, 4887017.31854569)"
214476,P,presenza,nativa,5,1888,44.280076,10.230396,Aquilegia lucensis E.Nardi,"c(598180.881052196, 4903717.08886974)"
