taxon_name,NAT2000,NOME,n
Aquilegia bertolonii Schott,IT5110006,Monte Sagro,5
Aquilegia bertolonii Schott,IT5110007,Monte Castagnolo,1
Aquilegia bertolonii Schott,IT5110008,Monte Borla - Rocca di Tenerano,5
Aquilegia bertolonii Schott,IT5120008,Valli glaciali di Orto di Donna e Solco di Equi,16
Aquilegia bertolonii Schott,IT5120009,M. Sumbra,20
Aquilegia bertolonii Schott,IT5120010,Valle del Serra - Monte Altissimo,5
Aquilegia bertolonii Schott,IT5120012,M. Croce - M. Matanna,14
Aquilegia bertolonii Schott,IT5120013,M. Tambura - M. Sella,16
Aquilegia bertolonii Schott,IT5120014,M. Corchia - Le Panie,23
Aquilegia lucensis E.Nardi,IT5110002,Monte Orsaro,9
Aquilegia lucensis E.Nardi,IT5110005,M. La Nuda - M. Tondo,5
Aquilegia lucensis E.Nardi,IT5120002,M. Castellino - Le Forbici,4
Aquilegia lucensis E.Nardi,IT5130001,Alta valle del Sestaione,26
Aquilegia lucensis E.Nardi,IT5130005,Libro Aperto - Cima Tauffi,15
Aquilegia lucensis E.Nardi,IT5130006,M. Spigolino - M. Gennaio,25
Crocus etruscus Parl.,IT5160005,"Boschi di Bolgheri, Bibbona e Castiglioncello",4
Crocus etruscus Parl.,IT5160009,Promontorio di Piombino e Monte Massoncello,1
Crocus etruscus Parl.,IT5170008,Complesso di Monterufoli,2
Crocus etruscus Parl.,IT5190003,Montagnola Senese,8
Crocus etruscus Parl.,IT51A0003,Val di Farma,1
Crocus etruscus Parl.,IT51A0008,Monte d'Alma,2
Diphasiastrum alpinum (L.) Holub,IT5120002,M. Castellino - Le Forbici,1
Diphasiastrum alpinum (L.) Holub,IT5130001,Alta valle del Sestaione,6
Diphasiastrum alpinum (L.) Holub,IT5130005,Libro Aperto - Cima Tauffi,1
Diphasiastrum complanatum (L.) Holub,IT5140002,Sasso di Castro e Monte Beni,1
Diphasiastrum tristachyum (Pursh) Holub,IT5120010,Valle del Serra - Monte Altissimo,2
Diphasiastrum tristachyum (Pursh) Holub,IT5120014,M. Corchia - Le Panie,1
Gentiana lutea L. subsp. lutea,IT5120002,M. Castellino - Le Forbici,1
Gentiana lutea L. subsp. symphyandra (Murb.) Hayek,IT5120002,M. Castellino - Le Forbici,1
Gladiolus palustris Gaudin,IT5110007,Monte Castagnolo,1
Gladiolus palustris Gaudin,IT5120014,M. Corchia - Le Panie,1
Gladiolus palustris Gaudin,IT5170003,Cerbaie,5
Himantoglossum adriaticum H.Baumann,IT5190003,Montagnola Senese,3
Himantoglossum adriaticum H.Baumann,IT5190012,Monte Cetona,6
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5110002,Monte Orsaro,2
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5110003,M. Matto - M. Malpasso,1
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5110005,M. La Nuda - M. Tondo,2
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5110006,Monte Sagro,2
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5110008,Monte Borla - Rocca di Tenerano,1
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5120002,M. Castellino - Le Forbici,2
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5120008,Valli glaciali di Orto di Donna e Solco di Equi,4
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5120013,M. Tambura - M. Sella,2
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5120014,M. Corchia - Le Panie,4
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5130001,Alta valle del Sestaione,5
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5130005,Libro Aperto - Cima Tauffi,1
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5180001,Crinale M. Falterona - M. Falco - M. Gabrendo,10
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5180002,Foreste alto bacino dell'Arno,1
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5180003,Giogo Seccheta,1
Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,IT5180018,Foreste di Camaldoli e Badia Prataglia,9
Lycopodium clavatum L.,IT5110003,M. Matto - M. Malpasso,1
Lycopodium clavatum L.,IT5110006,Monte Sagro,1
Lycopodium clavatum L.,IT5120014,M. Corchia - Le Panie,2
Lycopodium clavatum L.,IT5130001,Alta valle del Sestaione,3
Lycopodium clavatum L.,IT5130005,Libro Aperto - Cima Tauffi,2
Lycopodium clavatum L.,IT5130009,Tre Limentre - Reno,1
Lycopodium clavatum L.,IT5140012,Vallombrosa e Bosco di S. Antonio,3
Lycopodium clavatum L.,IT5180001,Crinale M. Falterona - M. Falco - M. Gabrendo,14
Lycopodium clavatum L.,IT5180002,Foreste alto bacino dell'Arno,3
Lycopodium clavatum L.,IT5180018,Foreste di Camaldoli e Badia Prataglia,9
Primula apennina Widmer,IT5110002,Monte Orsaro,21
Primula apennina Widmer,IT5110003,M. Matto - M. Malpasso,1
Primula apennina Widmer,IT5110004,M. Acuto - Groppi di Camporaghera,17
Primula apennina Widmer,IT5110005,M. La Nuda - M. Tondo,12
Primula apennina Widmer,IT5120002,M. Castellino - Le Forbici,11
Primula apennina Widmer,IT5120003,Parco dell'Orecchiella - Pania di Corfino - Lamarossa,1
Selaginella denticulata (L.) Spring,IT5110007,Monte Castagnolo,1
Selaginella denticulata (L.) Spring,IT5120011,Valle del Giardino,3
Selaginella denticulata (L.) Spring,IT5120012,M. Croce - M. Matanna,1
Selaginella denticulata (L.) Spring,IT5120013,M. Tambura - M. Sella,1
Selaginella denticulata (L.) Spring,IT5160002,Isola di Gorgona - Area terrestre e marina,6
Selaginella denticulata (L.) Spring,IT5160006,Isola di Capraia - Area terrestre e marina,3
Selaginella denticulata (L.) Spring,IT5160012,Monte Capanne e promontorio dell'Enfola,7
Selaginella denticulata (L.) Spring,IT5160014,Isola di Montecristo e Formica di Montecristo - Area terrestre e marina,27
Selaginella denticulata (L.) Spring,IT5170003,Cerbaie,1
Selaginella denticulata (L.) Spring,IT51A0008,Monte d'Alma,1
Selaginella denticulata (L.) Spring,IT51A0016,Monti dell'Uccellina,2
Selaginella denticulata (L.) Spring,IT51A0023,Isola del Giglio,3
Selaginella denticulata (L.) Spring,IT51A0024,Isola di Giannutri - Area terrestre e marina,2
Spinulum annotinum (L.) A.Haines subsp. annotinum,IT5130001,Alta valle del Sestaione,2
Spinulum annotinum (L.) A.Haines subsp. annotinum,IT5180001,Crinale M. Falterona - M. Falco - M. Gabrendo,4
Spinulum annotinum (L.) A.Haines subsp. annotinum,IT5180002,Foreste alto bacino dell'Arno,4
Spinulum annotinum (L.) A.Haines subsp. annotinum,IT5180003,Giogo Seccheta,2
Spinulum annotinum (L.) A.Haines subsp. annotinum,IT5180018,Foreste di Camaldoli e Badia Prataglia,5
Spiranthes aestivalis (Poir.) Rich.,IT5120010,Valle del Serra - Monte Altissimo,1
Spiranthes aestivalis (Poir.) Rich.,IT5120011,Valle del Giardino,1
Spiranthes aestivalis (Poir.) Rich.,IT5120016,Macchia lucchese,6
Spiranthes aestivalis (Poir.) Rich.,IT5120101,Ex alveo del Lago di Bientina,2
Spiranthes aestivalis (Poir.) Rich.,IT5160012,Monte Capanne e promontorio dell'Enfola,1
Spiranthes aestivalis (Poir.) Rich.,IT5160014,Isola di Montecristo e Formica di Montecristo - Area terrestre e marina,1
Spiranthes aestivalis (Poir.) Rich.,IT5170002,Selva Pisana,4
Spiranthes aestivalis (Poir.) Rich.,IT51A0023,Isola del Giglio,3
Vandenboschia speciosa (Willd.) G.Kunkel,IT5120010,Valle del Serra - Monte Altissimo,7
